STATION,DATE,MLY-TAVG-NORMAL,Completeness Flag
GHCND:USC00047339,201001,492,R
GHCND:USC00047339,201002,521,S
GHCND:USC00047339,201003,548,S
GHCND:USC00047339,201004,577,S
GHCND:USC00047339,201005,618,S
GHCND:USC00047339,201006,664,S
GHCND:USC00047339,201007,691,S
GHCND:USC00047339,201008,686,S
GHCND:USC00047339,201009,669,S
GHCND:USC00047339,201010,621,S
GHCND:USC00047339,201011,544,S
GHCND:USC00047339,201012,492,S
GHCND:USC00043714,201001,502,R
GHCND:USC00043714,201002,511,S
GHCND:USC00043714,201003,513,S
GHCND:USC00043714,201004,519,S
GHCND:USC00043714,201005,539,R
GHCND:USC00043714,201006,564,R
GHCND:USC00043714,201007,583,R
GHCND:USC00043714,201008,592,S
GHCND:USC00043714,201009,581,S
GHCND:USC00043714,201010,562,S
GHCND:USC00043714,201011,531,R
GHCND:USC00043714,201012,505,S
GHCND:USW00093228,201001,499,R
GHCND:USW00093228,201002,527,R
GHCND:USW00093228,201003,555,R
GHCND:USW00093228,201004,577,R
GHCND:USW00093228,201005,605,R
GHCND:USW00093228,201006,636,R
GHCND:USW00093228,201007,652,R
GHCND:USW00093228,201008,665,R
GHCND:USW00093228,201009,664,R
GHCND:USW00093228,201010,626,R
GHCND:USW00093228,201011,555,R
GHCND:USW00093228,201012,500,R
GHCND:USW00093227,201001,461,R
GHCND:USW00093227,201002,491,R
GHCND:USW00093227,201003,521,R
GHCND:USW00093227,201004,548,R
GHCND:USW00093227,201005,591,R
GHCND:USW00093227,201006,642,R
GHCND:USW00093227,201007,654,R
GHCND:USW00093227,201008,658,R
GHCND:USW00093227,201009,645,R
GHCND:USW00093227,201010,586,R
GHCND:USW00093227,201011,512,R
GHCND:USW00093227,201012,458,R
GHCND:USC00047767,201001,508,R
GHCND:USC00047767,201002,526,S
GHCND:USC00047767,201003,533,S
GHCND:USC00047767,201004,540,S
GHCND:USC00047767,201005,551,S
GHCND:USC00047767,201006,566,S
GHCND:USC00047767,201007,577,S
GHCND:USC00047767,201008,591,S
GHCND:USC00047767,201009,593,S
GHCND:USC00047767,201010,587,R
GHCND:USC00047767,201011,552,S
GHCND:USC00047767,201012,511,S
GHCND:USC00046599,201001,522,R
GHCND:USC00046599,201002,539,R
GHCND:USC00046599,201003,550,R
GHCND:USC00046599,201004,566,R
GHCND:USC00046599,201005,588,R
GHCND:USC00046599,201006,613,R
GHCND:USC00046599,201007,628,R
GHCND:USC00046599,201008,636,R
GHCND:USC00046599,201009,643,R
GHCND:USC00046599,201010,620,S
GHCND:USC00046599,201011,570,S
GHCND:USC00046599,201012,528,S
GHCND:USC00049792,201001,487,S
GHCND:USC00049792,201002,518,S
GHCND:USC00049792,201003,547,S
GHCND:USC00049792,201004,578,S
GHCND:USC00049792,201005,623,S
GHCND:USC00049792,201006,666,S
GHCND:USC00049792,201007,700,S
GHCND:USC00049792,201008,697,S
GHCND:USC00049792,201009,681,S
GHCND:USC00049792,201010,625,R
GHCND:USC00049792,201011,539,S
GHCND:USC00049792,201012,484,S
GHCND:USW00023272,201001,513,R
GHCND:USW00023272,201002,539,R
GHCND:USW00023272,201003,551,R
GHCND:USW00023272,201004,562,S
GHCND:USW00023272,201005,576,R
GHCND:USW00023272,201006,596,R
GHCND:USW00023272,201007,603,R
GHCND:USW00023272,201008,616,S
GHCND:USW00023272,201009,627,S
GHCND:USW00023272,201010,615,S
GHCND:USW00023272,201011,566,S
GHCND:USW00023272,201012,516,S
GHCND:USC00043244,201001,501,R
GHCND:USC00043244,201002,530,R
GHCND:USC00043244,201003,558,R
GHCND:USC00043244,201004,588,R
GHCND:USC00043244,201005,617,R
GHCND:USC00043244,201006,651,R
GHCND:USC00043244,201007,673,R
GHCND:USC00043244,201008,679,R
GHCND:USC00043244,201009,669,R
GHCND:USC00043244,201010,623,R
GHCND:USC00043244,201011,552,R
GHCND:USC00043244,201012,501,R
GHCND:USC00045378,201001,454,S
GHCND:USC00045378,201002,495,S
GHCND:USC00045378,201003,535,S
GHCND:USC00045378,201004,573,S
GHCND:USC00045378,201005,626,S
GHCND:USC00045378,201006,677,S
GHCND:USC00045378,201007,699,S
GHCND:USC00045378,201008,696,S
